Date,Reservoir 1 Level,Reservoir 2 Level,Generator Production (MWh),Discharge (m³),Load Shedding (MWh),Spillage (MWh),Bypass Water (MWh),Regulated Inflow (m³),Unregulated Inflow (m³),Penalty for Load Shedding,Penalty for Spillage,Penalty for Bypass
19/07/2026,15.06672649,17.17932691,45.71682897,136.5342049,0,4,1,2067,2901,97,18,15
20/07/2026,13.87237271,12.83607923,41.42221416,145.9005255,1,1,1,1860,3335,85,22,13
21/07/2026,19.06572211,13.26282152,46.91313871,145.5936242,7,0,2,2451,2675,86,21,14
22/07/2026,10.16061865,10.20758032,54.8658895,136.9472923,5,0,2,2298,3239,71,18,14
23/07/2026,17.82171263,17.60885978,48.76223302,109.8912214,8,2,1,1710,3465,85,25,18
24/07/2026,11.24382831,10.42739606,56.35576861,142.168666,1,1,1,2452,3334,73,20,18
25/07/2026,17.97547361,18.64652355,50.9865273,110.1888017,2,1,2,1678,3413,76,20,17
26/07/2026,16.15911916,11.18660614,58.59583445,137.1449407,8,3,1,2419,2866,87,15,17
27/07/2026,18.43278091,11.71876512,58.95726884,134.2801533,8,0,2,1557,2987,75,27,11
28/07/2026,10.97514326,14.76526471,41.38609012,137.9444425,5,3,1,1572,2517,87,16,12
29/07/2026,15.58980634,17.37880415,49.12826879,126.634284,2,1,1,1714,2555,97,18,17
30/07/2026,15.0108788,11.39002205,52.19378122,131.9363091,4,2,1,2399,3418,76,20,14
31/07/2026,17.06193183,14.40071075,45.11745082,147.666004,1,0,2,2277,2534,71,20,16
01/08/2026,15.34290552,14.82851274,48.14153559,105.0544297,6,1,0,2458,3401,88,15,17
02/08/2026,15.40734567,12.12285642,53.55363082,115.4423637,9,2,2,1572,3129,78,22,15
03/08/2026,14.29595944,11.15558377,44.53468454,130.5678507,7,4,1,1966,3293,98,16,14
04/08/2026,13.08834424,18.36420923,52.03962706,148.2027065,5,1,0,1770,3265,73,27,17
05/08/2026,14.82264361,15.0246565,53.94895656,104.7787224,7,4,0,1998,3224,83,19,10
06/08/2026,11.18492359,10.14381236,41.80992622,101.1274611,1,3,1,1853,3072,74,18,10
07/08/2026,19.61513339,18.02981301,49.95058632,102.7874799,2,4,2,1733,3099,94,19,10
08/08/2026,17.14410764,19.80793805,45.2616006,102.6202843,6,1,0,1818,3282,76,19,12
09/08/2026,19.52467117,16.05926195,54.48772712,145.3907929,9,4,0,1518,2846,77,29,19
10/08/2026,12.26727382,15.03708387,43.79111017,136.0628954,0,0,2,2124,2531,84,24,15
11/08/2026,18.7934102,18.78415863,57.84475831,133.8553183,6,1,2,2074,3407,96,22,15
12/08/2026,18.08789985,19.5251679,48.61882673,126.128641,5,2,0,1871,2632,88,24,14
13/08/2026,16.77152412,17.54536916,43.96006061,139.0976308,7,4,2,1683,3075,96,21,16
14/08/2026,16.25029186,14.4545293,48.76043593,107.7823996,6,0,0,1776,2698,80,26,14
15/08/2026,13.16549665,15.92221399,48.17487526,119.5970595,3,3,1,2173,2755,89,28,11
16/08/2026,18.16410785,17.00935365,48.57837919,124.5002125,2,3,2,2254,2841,92,23,13
17/08/2026,15.01515461,11.94273571,51.71122587,105.5204749,2,4,0,1644,3166,73,26,10
18/08/2026,10.70891576,14.47201032,50.4234745,120.9756855,3,3,2,2157,3474,87,25,16
19/08/2026,13.12863161,18.29821265,42.99554263,115.825089,8,2,2,1580,2730,83,27,13
20/08/2026,19.35297099,16.54725348,41.31158145,101.7791073,8,1,0,1821,2800,95,29,13
21/08/2026,18.50680261,14.11204067,54.58830897,106.8367701,1,0,1,1934,3046,75,15,13
22/08/2026,19.81905698,16.63362534,51.19434872,138.2018412,4,4,0,2332,2525,94,20,12
23/08/2026,16.27993383,11.18222412,47.18001536,100.9018955,0,3,2,1542,3034,85,20,17
24/08/2026,12.47510073,14.01497611,56.16715645,146.712665,3,1,0,1812,3152,87,16,13
25/08/2026,11.6281505,17.93128538,47.76116949,104.3212316,1,2,2,2405,2973,70,25,17
26/08/2026,11.86914441,12.20508787,55.91930179,139.9619047,7,3,0,1792,2886,77,22,18
27/08/2026,10.19795658,11.85961508,46.11512255,144.930827,3,3,1,2187,2784,70,20,10
28/08/2026,13.90682111,19.5081866,41.45690595,147.0567792,4,0,1,2387,2949,70,25,13
29/08/2026,11.9142768,12.0989763,58.65279388,143.3738512,3,2,1,1568,2819,88,27,15
30/08/2026,14.1165546,12.6091858,47.89102259,114.377502,4,2,1,1555,2655,90,24,17
31/08/2026,19.34994432,19.69615939,55.85385146,116.6543566,4,4,0,2130,2970,98,23,15
01/09/2026,14.3054021,17.3470857,45.58288266,121.3272849,4,0,1,1703,2919,97,24,15
02/09/2026,18.77984497,16.99596533,52.92730224,106.9648345,2,4,0,1919,2612,94,19,19
03/09/2026,16.05504767,18.52926384,57.46621747,101.1136228,6,0,2,2426,3401,96,21,13
04/09/2026,12.47131555,11.15823082,40.83288045,143.4560807,2,2,2,2066,3150,79,20,18
05/09/2026,13.55854759,17.05956237,56.61271529,127.7064358,1,0,2,2049,2921,87,25,16
06/09/2026,10.83919536,15.03688609,51.4266601,130.4361471,2,0,1,1742,3385,81,29,15
07/09/2026,13.33462594,18.2915064,52.14943508,146.3494237,2,0,1,1700,3429,97,19,10
08/09/2026,16.77540946,15.08141719,50.46316002,133.2560089,7,1,1,2247,3220,86,20,11
09/09/2026,10.72111093,16.20241354,57.48950207,134.5426752,3,1,2,1973,3334,70,18,15
10/09/2026,12.05401408,14.77742126,40.86866714,139.3484324,2,2,2,2026,3375,77,17,10
11/09/2026,13.81441041,14.78158924,45.22056783,105.8174225,9,0,2,2155,3441,79,27,14
12/09/2026,19.82049537,17.67969978,57.51525078,118.0081077,4,2,2,1576,3493,95,15,10
13/09/2026,17.84861823,16.28566401,55.04691405,148.4103964,3,1,0,2484,3097,79,15,12
14/09/2026,17.33486746,16.33263202,40.3529032,146.1465039,8,0,0,1977,2784,87,20,16
15/09/2026,11.16190957,14.50282484,50.34012566,144.2037648,7,4,1,2320,3071,98,28,14
16/09/2026,17.80995894,15.31109496,50.59145361,122.6044255,6,1,1,1939,2553,78,23,19
17/09/2026,17.85268812,17.45717666,48.0176427,142.8596477,7,1,2,1762,3104,94,22,10
18/09/2026,16.01102696,18.25940919,45.94786664,102.4197941,4,1,0,1684,2824,71,26,10
19/09/2026,19.90361782,16.96561402,53.63449701,107.4258712,3,0,0,1554,3469,72,16,17
20/09/2026,13.25253906,19.24072989,44.15580929,120.6983849,6,3,1,1807,2957,71,23,18
21/09/2026,19.41272448,18.20324088,55.97897124,124.1696033,0,4,0,2015,3384,75,22,16
22/09/2026,19.14731115,15.6186379,56.06074322,113.1753577,5,4,1,1798,2764,92,28,12
23/09/2026,10.1148066,16.71406073,48.30522875,117.8238335,7,2,2,2051,2881,81,28,15
24/09/2026,14.50116526,19.26308277,45.67096022,108.1388051,6,0,2,1729,2712,91,26,12
25/09/2026,19.77104233,16.19168044,45.67756363,124.4567016,1,1,1,1876,2832,88,23,19
26/09/2026,11.03121362,18.24806948,49.64582648,139.6921646,6,3,2,1785,2509,97,18,13
27/09/2026,15.47784694,16.88810504,54.39158449,133.0680197,5,0,2,1637,2857,84,23,13
28/09/2026,19.78957507,15.51936361,47.17737382,105.3896124,4,0,0,1977,2702,88,16,12
29/09/2026,15.55495424,12.41838195,52.20086691,124.3790802,3,3,0,2114,3207,81,27,19
30/09/2026,11.89815303,14.25997519,47.64968921,134.8823191,0,1,0,1506,2557,87,15,15
01/10/2026,15.8218323,19.67742825,46.09046378,126.4947648,1,0,0,2175,2993,85,27,14
02/10/2026,12.04440574,16.57765383,40.49719032,119.5837798,6,4,0,1918,3009,71,23,18
03/10/2026,15.19704263,15.6439538,40.07828211,131.0957211,9,4,1,1971,3267,80,24,18
04/10/2026,10.74042218,19.32956626,44.54415356,148.4319333,2,3,1,2434,2722,81,22,12
05/10/2026,16.05482669,15.86511781,48.12812574,104.7453955,4,1,0,1919,2868,74,21,18
06/10/2026,15.16789939,15.26082518,57.02522335,119.500803,7,3,2,2376,3191,96,28,12
07/10/2026,17.40161369,17.59310855,55.96968486,120.3302927,7,0,2,1775,2917,96,27,13
08/10/2026,16.30700471,17.12665619,45.34330525,128.8483655,5,4,1,2060,3373,93,22,10
09/10/2026,15.49606269,11.93160008,44.89080886,107.6087301,4,2,1,2107,3046,75,26,14
10/10/2026,16.89778849,14.71308275,44.54644142,108.8321515,1,3,1,2070,3370,94,15,18
11/10/2026,11.43941914,14.72515443,46.78474681,114.2680693,8,2,2,2242,2602,80,28,11
12/10/2026,15.95359661,13.78224515,49.96397439,147.7935022,0,2,1,2188,2660,90,23,13
13/10/2026,11.72110603,15.17293482,48.77335544,136.7054291,1,4,2,1589,2699,79,26,19
14/10/2026,19.25522208,14.13107398,44.36546398,133.0846651,0,3,1,1781,2659,73,24,11
15/10/2026,10.68334105,11.99345489,42.6090282,140.8478844,3,2,2,2047,3194,78,25,17
16/10/2026,14.3037475,14.12366487,40.25155625,106.3788234,3,0,1,1670,3364,81,23,18
17/10/2026,16.95797478,10.72276948,43.07926477,142.966641,4,1,1,2137,2635,79,29,12
18/10/2026,14.58022212,15.75785863,54.1071274,129.7416357,4,1,2,2494,3441,96,26,18
19/10/2026,10.92095253,18.53654549,44.87277139,116.7664504,7,4,1,2310,2897,83,25,15
20/10/2026,15.53379016,17.25287084,49.3720362,140.7927628,2,3,0,1854,3237,74,23,15
21/10/2026,16.41631909,13.6039404,51.82602298,140.1282267,5,3,2,1703,2891,70,27,16
22/10/2026,17.03792311,10.87071206,57.73681806,142.2854291,2,1,1,1788,3254,74,28,14
23/10/2026,13.73259814,12.02149399,57.77710197,105.775895,1,0,2,2367,2605,85,20,15
24/10/2026,15.63659971,15.4549034,54.91467467,148.4680622,7,1,1,1961,3082,74,18,10
25/10/2026,14.50686475,12.07057083,40.70313984,147.9813077,0,1,0,2108,3088,74,27,12
26/10/2026,16.72056039,15.43973111,51.50140838,117.8734823,8,3,1,2249,2553,98,16,18
27/10/2026,15.83556967,12.31599025,55.73166942,103.2947009,6,2,1,1672,2776,87,25,14
28/10/2026,15.2575622,18.48923869,40.3457609,108.3527835,9,0,0,1800,2610,98,18,14
29/10/2026,12.49524367,13.97271473,50.99369227,149.6415413,3,3,2,2099,2723,75,21,17
30/10/2026,10.02018518,12.45550626,57.15528292,128.1506472,2,1,1,2410,2574,90,15,11
31/10/2026,11.74081675,18.1232618,49.48204152,117.8310899,5,2,1,2362,3005,87,28,16
01/11/2026,11.17066041,13.42838965,40.08212406,114.4101347,8,0,0,2028,2513,97,23,18
02/11/2026,14.49084745,11.11487688,40.22026717,112.8495868,8,4,2,1639,3470,79,17,16
03/11/2026,16.12258151,15.70409491,48.33272075,133.2076383,3,0,2,2265,3269,84,27,14
04/11/2026,12.13085009,15.81564204,43.10017335,120.9693916,9,0,0,1777,2981,99,27,15
05/11/2026,19.39057096,17.14695675,53.28901314,148.270535,4,1,0,2162,2688,93,18,13
06/11/2026,10.06682129,12.40219433,54.1759853,134.1921515,8,1,1,2010,2863,91,26,16
07/11/2026,17.72301015,14.43771339,43.55759591,139.6022296,1,4,0,1845,2738,80,19,10
08/11/2026,16.2520477,12.82367919,57.77066577,114.6370774,1,4,0,2345,2900,95,26,13
09/11/2026,13.73554801,10.80953736,48.8381569,103.9593205,4,4,0,1639,3345,97,27,12
10/11/2026,10.50488944,18.76613827,42.85691815,124.3911419,0,3,2,1613,3484,96,17,13
11/11/2026,16.27486572,17.28869804,55.28503196,115.7290773,7,3,0,2079,2803,88,18,10
12/11/2026,13.85613513,13.01463059,55.79949,110.1041583,4,1,1,2006,2590,94,19,11
13/11/2026,19.36267139,15.99372993,52.78590945,147.6321065,9,1,1,1865,2891,82,26,18
14/11/2026,15.41990075,12.01263788,57.06931106,122.1994107,1,4,1,2190,2683,96,15,16
15/11/2026,19.39651511,18.90236622,54.74745944,108.7354296,8,3,0,2136,2516,96,28,15
16/11/2026,12.20483693,11.14906343,57.64411474,109.9325326,1,2,2,1896,3464,99,23,11
17/11/2026,17.2572591,10.03837146,48.67776097,114.0354871,6,3,0,2324,2511,89,24,10
18/11/2026,16.17249021,15.02008198,54.95194256,149.9658134,7,1,0,2322,2665,72,27,11
19/11/2026,17.3940823,15.83127823,59.99503127,113.400575,5,3,1,2349,2645,85,24,16
20/11/2026,12.14667864,15.7896532,54.49862395,116.4400902,6,1,0,2374,2781,76,27,11
21/11/2026,16.64994516,10.54511927,42.2836756,132.9664064,0,4,2,2423,3490,81,28,12
22/11/2026,14.98040393,13.14043807,50.36637445,114.6980688,3,4,1,2369,3048,98,18,17
23/11/2026,17.42824975,14.99198947,51.74695582,110.7902126,6,4,2,2244,3081,84,27,16
24/11/2026,13.27044644,12.16579186,43.4842135,107.9318593,0,2,2,2439,2668,99,23,18
25/11/2026,18.90057025,18.72625885,59.25783268,115.6341333,0,2,2,2158,3346,77,18,13
26/11/2026,10.84301315,10.87109289,43.51159555,105.2957845,5,1,0,2441,2669,92,28,16
27/11/2026,18.07189319,14.87384442,43.55115839,100.9323293,3,0,0,1610,3264,86,15,10
28/11/2026,18.61319626,16.91416058,58.30334276,140.2320849,2,2,0,2374,2845,70,26,11
29/11/2026,18.17252311,12.617511,49.30410866,106.8947471,4,1,0,1857,2998,98,19,16
30/11/2026,15.12726394,16.24240737,41.26376559,138.7988425,8,3,1,1737,2959,90,27,11
01/12/2026,14.3838498,18.2938515,51.96375,139.8771239,9,4,0,1502,2796,99,23,15
02/12/2026,19.96262287,11.90336975,52.03652697,126.8959763,9,4,1,2222,3442,77,17,19
03/12/2026,12.29171951,19.17220592,41.29001517,115.4840979,9,4,2,1903,2641,83,19,18
04/12/2026,15.46875966,15.53558533,59.45044991,107.2516367,2,1,1,1524,3396,79,17,14
05/12/2026,16.70675525,12.99232004,50.88059931,136.8402553,4,4,0,2342,3284,96,26,19
06/12/2026,17.00867636,14.30858275,51.19591444,130.0693493,9,2,1,2008,3236,88,17,16
07/12/2026,12.04024666,13.12191884,50.40230829,132.7726728,4,3,0,2195,3194,77,15,10
08/12/2026,16.53994092,17.2511116,52.21463559,100.4334545,8,4,0,1964,3232,88,16,17
09/12/2026,18.18369566,17.96300663,45.28599506,146.3758508,9,1,1,1560,2552,73,16,18
10/12/2026,10.50018577,18.32937392,45.74482696,103.3145094,3,3,1,2007,2617,79,23,14
11/12/2026,19.11521293,19.8576825,50.2267818,118.3402943,0,4,2,1622,2864,92,21,15
12/12/2026,10.29504055,17.91284292,56.1337171,120.1355825,9,0,2,1996,3170,72,22,17
13/12/2026,13.55971032,16.01384071,40.99729153,100.0677762,4,4,2,1554,3457,73,16,13
14/12/2026,10.15813196,13.39220298,52.06808424,124.8544655,0,2,2,1662,2635,85,23,11
15/12/2026,10.77145169,15.44595449,56.13556285,137.6404497,5,3,2,2473,2913,93,27,19
16/12/2026,19.11168285,10.41068173,43.13834544,141.1634327,9,2,1,2198,2576,73,17,17
17/12/2026,13.54860831,17.44825076,40.30045084,143.9698497,9,0,2,1538,3347,94,24,11
18/12/2026,14.2477153,14.45955545,46.2542659,124.3859434,6,0,1,2196,3461,89,27,14
19/12/2026,12.15344381,10.2002323,51.76287413,131.5318095,0,2,2,1582,3056,98,16,15
20/12/2026,15.9709577,10.62506942,42.76566347,103.9759857,9,3,0,2206,2517,99,26,14
21/12/2026,15.94803215,13.87466464,48.52244742,124.4019112,3,0,2,2045,3366,89,15,15
22/12/2026,13.72200392,15.83421519,51.04642995,107.7407877,8,0,0,1612,3440,82,23,15
23/12/2026,13.33034872,14.64203949,51.9776619,118.4821559,0,4,1,1924,2902,90,22,12
24/12/2026,18.84964308,16.19204317,45.48823442,116.4652656,8,1,2,2417,2704,86,27,12
25/12/2026,13.8328424,14.80294259,48.00059272,121.1770289,7,0,1,1729,2998,92,29,18
26/12/2026,14.93500992,16.61703845,55.56678458,128.5818309,4,3,2,1782,2823,94,26,12
27/12/2026,12.83304762,12.19126065,58.82429388,145.1438324,5,3,1,2416,3094,85,25,12
28/12/2026,17.86769503,11.12843187,57.23760662,119.7242316,6,4,2,2436,3061,97,18,11
29/12/2026,13.97448157,15.96433955,51.28567003,149.0565598,3,3,2,1786,2780,94,21,16
30/12/2026,15.13611047,14.84689517,48.20585606,137.9514024,5,4,0,1654,2665,86,26,19
31/12/2026,12.5335717,10.26867654,46.65913229,125.5740523,6,0,1,1664,2742,75,28,19
01/01/2027,19.87659592,13.80481885,42.49913132,132.2013219,5,0,1,2461,3388,72,17,13
02/01/2027,12.91495741,11.06125585,42.13102494,105.1112086,5,0,1,1681,2978,89,17,10
03/01/2027,17.70742531,15.31356832,53.7671525,142.2260766,1,0,1,1738,2663,93,18,15
04/01/2027,14.2749565,13.9577768,45.19588832,129.1178728,4,1,1,2148,2823,73,16,14
05/01/2027,12.06217405,16.13151911,45.09323373,149.303374,2,1,0,1838,3067,77,28,11
06/01/2027,17.99718764,18.05602219,59.96390109,131.8214372,6,0,2,2437,3050,89,24,15
07/01/2027,13.33606789,12.99668684,43.75851916,141.7055792,3,3,0,2011,3330,78,18,10
08/01/2027,18.65193347,19.62102104,42.96119519,139.9881371,0,4,1,2431,3139,91,24,12
09/01/2027,19.15257185,15.35634501,41.97370456,117.2730576,5,2,1,1765,3402,70,17,13
10/01/2027,18.59823835,16.18290799,51.5961069,112.9805313,5,4,2,1686,3133,82,22,12
11/01/2027,10.35007915,16.80672373,52.55727652,121.5246792,6,2,0,1539,3258,95,25,15
12/01/2027,17.87373345,16.6673153,47.30455853,123.3620672,7,2,2,2321,3197,71,16,13
13/01/2027,14.11339466,15.10970743,50.70826671,112.0042351,2,0,2,1992,2707,92,25,10
14/01/2027,18.7372292,14.28764291,55.76799062,144.7298937,5,2,0,2178,2814,79,23,14
15/01/2027,16.37954263,10.53781964,56.36208337,127.1273931,9,0,2,1890,2803,92,17,14
16/01/2027,18.33643134,10.22085845,59.15824151,148.9222196,1,1,0,1759,3400,88,18,18
17/01/2027,14.9943177,13.57961195,56.48535972,140.5008889,8,3,0,2154,2738,86,27,17
18/01/2027,15.35025505,13.33660891,51.29682873,127.785243,1,2,1,2215,3226,93,24,17
19/01/2027,11.44387632,13.87695155,43.59313932,147.3520139,2,3,2,1675,3303,82,28,14
20/01/2027,17.83987359,11.38368201,41.99527115,125.2437408,9,0,1,2273,2723,98,29,17
21/01/2027,14.19389612,17.38168271,41.0902378,144.3553256,1,2,2,2263,2587,95,24,19
22/01/2027,15.00080118,18.56964415,53.33051664,117.9072391,8,4,2,1828,3036,83,29,16
23/01/2027,17.85097714,19.38714635,56.15072511,118.9321192,0,1,1,2430,2928,96,29,10
24/01/2027,15.988454,14.92362304,50.17367901,120.9065341,4,1,1,1699,2719,80,17,16
25/01/2027,12.01098727,17.00865699,41.0942835,127.3312823,0,2,1,2210,2774,79,17,17
26/01/2027,15.90232659,18.55551123,50.70941149,127.6745135,4,1,0,1695,3146,76,22,12
27/01/2027,14.07632858,14.18291111,58.71498523,124.8199461,7,4,2,2325,3453,79,22,18
28/01/2027,14.69525542,13.09412795,51.95226382,115.3000487,7,3,0,2088,3244,93,27,17
29/01/2027,10.28311274,19.36724556,56.18854977,146.3603232,7,4,2,2030,3476,70,27,11
30/01/2027,12.1002935,15.15676551,56.00305297,129.4293049,1,1,2,1561,2565,83,20,15
31/01/2027,12.81038081,14.97253887,58.642582,120.3869608,7,3,0,1826,3091,72,18,13
01/02/2027,17.12960008,11.78416097,55.40457531,132.558848,4,4,0,2405,2922,82,15,12
02/02/2027,10.11492473,11.08155015,54.95401028,138.3983379,0,0,2,1780,2754,71,18,15
03/02/2027,14.08777261,18.42106862,44.6820533,148.0364044,6,0,1,2439,2624,86,22,19
04/02/2027,19.2402687,16.14133176,41.19850311,124.9774581,5,3,1,2261,2645,90,20,18
05/02/2027,11.11880617,13.25824584,50.3519893,105.6049255,4,3,1,1726,3114,72,16,11
06/02/2027,15.16424388,11.91736217,42.48868416,122.0382901,0,3,1,2138,2884,95,17,19
07/02/2027,17.86522382,15.5549728,59.24391753,123.9485281,0,0,2,1557,2946,84,26,19
08/02/2027,19.42531308,15.83919289,45.79849525,144.8497039,5,4,1,2420,2886,77,21,19
09/02/2027,17.4677664,12.06993601,57.05888407,119.7400384,9,3,1,1976,2882,75,25,14
10/02/2027,17.20565549,18.51405748,47.7524925,147.6662132,6,0,1,1875,2776,95,25,15
11/02/2027,18.2648809,10.84264366,46.463885,124.2565954,9,3,2,2215,2881,99,18,13
12/02/2027,14.46201221,13.56093085,58.70317145,148.689025,9,3,0,1742,2623,78,18,16
13/02/2027,18.05844533,16.80384414,47.26645144,100.4099161,0,3,1,1866,3425,94,29,11
14/02/2027,10.07964405,12.74120364,47.80575817,144.9407687,8,0,2,2435,2766,80,29,16
15/02/2027,19.24561055,18.27675195,42.12183559,146.5560226,3,4,2,2343,3289,91,19,11
16/02/2027,14.4330651,17.39867827,53.40893331,148.0510468,4,0,1,1999,2610,71,22,10
17/02/2027,15.53380188,17.89022845,45.77678829,100.6538267,1,0,0,2337,2880,78,28,14
18/02/2027,12.54882249,11.19106536,51.71208336,108.5850418,9,3,0,1751,3324,87,28,11
19/02/2027,17.42530833,11.40547128,51.82703408,132.6882252,7,2,0,2405,3100,88,21,17
20/02/2027,10.76635806,12.86473738,54.38399391,101.2736346,1,2,2,1821,3398,91,23,17
21/02/2027,18.72635803,15.18077165,54.90482972,103.1804498,2,2,1,1875,2657,87,29,10
22/02/2027,18.28116829,17.48016077,50.28904869,111.0539437,8,0,1,1908,3227,74,19,13
23/02/2027,12.16060116,18.36530891,46.61983895,125.6219884,1,3,2,2210,3395,87,15,18
24/02/2027,18.09324398,17.04335316,56.7490179,127.295128,5,2,1,1987,3312,81,18,14
25/02/2027,17.86357733,19.28596882,46.19731299,101.7130561,3,1,1,1842,3047,73,20,19
26/02/2027,16.32216598,17.3874351,50.15018189,108.5183625,6,1,0,1739,3098,84,20,15
27/02/2027,13.73520177,13.06267887,48.02505166,124.9852837,5,1,1,1638,2617,80,23,12
28/02/2027,12.71498754,12.65081284,57.10156772,129.697031,9,4,1,1621,2827,96,24,14
01/03/2027,12.3178359,16.9619245,48.63837062,107.4200848,8,3,2,1919,3459,88,27,10
02/03/2027,13.18608963,11.92870569,47.72198378,119.9420706,8,0,2,2060,3193,74,19,17
03/03/2027,19.03558443,10.92714811,53.79647386,145.2200718,9,0,0,1803,2567,75,19,15
04/03/2027,10.77640776,15.32222875,52.0488222,149.9449644,3,3,2,1614,2933,82,20,11
05/03/2027,18.28871276,18.2164157,42.14493667,149.3607227,0,4,0,1842,2858,92,25,13
06/03/2027,13.48890075,11.01379842,50.16337613,144.0837255,1,3,0,1750,3170,79,20,13
07/03/2027,15.21599396,17.91891324,54.70956777,119.7330044,7,4,1,1506,3296,93,17,18
08/03/2027,17.94485634,18.11572004,59.84149529,134.3287146,9,2,0,2230,2942,94,20,18
09/03/2027,18.84376547,14.82274,52.58293668,120.8296114,7,2,1,2088,2663,83,22,14
10/03/2027,13.4478142,10.5731031,47.40586133,132.4263513,1,4,0,1678,3472,73,26,12
11/03/2027,14.61843481,11.74589851,44.523032,115.4716235,3,3,2,1644,2860,89,20,10
12/03/2027,14.14516065,17.07426275,57.45660468,130.3101127,0,2,2,1915,3084,92,26,15
13/03/2027,10.13251034,17.11777945,56.29130424,126.1879248,6,3,2,2165,2618,81,25,17
14/03/2027,12.95942889,18.98355275,44.67845642,101.2240133,3,2,0,1620,3352,84,19,10
15/03/2027,14.59189234,15.82686147,44.0126418,139.5351452,7,3,0,1623,2694,95,17,10
16/03/2027,14.11093609,11.24107368,54.30273554,100.5948916,8,3,1,1649,3100,79,15,16
17/03/2027,17.21929228,11.21414906,46.29904124,114.6577971,8,1,1,1896,3356,80,19,16
18/03/2027,13.84803617,17.21132357,46.12797597,100.2962033,2,4,1,1880,3087,78,20,11
19/03/2027,14.89376449,11.83784665,43.04580494,118.8100707,4,0,1,2279,3232,80,28,12
20/03/2027,14.29608592,13.283855,45.27951039,103.1580264,5,4,0,2338,3150,71,20,11
21/03/2027,17.40626149,14.87212007,48.55015115,145.6755483,5,3,0,1500,3383,82,28,15
22/03/2027,18.62972399,10.24764878,54.65676675,120.7839648,9,3,1,2172,3406,96,20,17
23/03/2027,15.31889079,12.48819027,46.72616189,122.9747887,7,4,0,1743,2740,91,17,17
24/03/2027,17.89432194,14.07889609,46.57208679,117.4925118,5,3,0,2386,3008,95,29,10
25/03/2027,12.96786682,12.79636318,45.69826505,131.3753077,5,2,0,1897,3165,95,18,18
26/03/2027,15.4136961,11.36370327,49.56567335,139.2204058,3,3,0,1750,3064,77,29,17
27/03/2027,13.45229954,17.28012258,43.61273396,132.4073372,6,4,1,2378,2641,98,17,18
28/03/2027,14.14200926,18.13147655,49.71261468,137.4103559,7,4,1,2075,3331,90,16,18
29/03/2027,17.32413865,12.57478976,54.08351112,145.2986832,2,4,0,1798,3475,90,22,15
30/03/2027,18.81662482,17.74419495,40.59581008,143.1773266,6,1,2,2259,3405,77,21,12
31/03/2027,11.21495391,13.85553564,40.19558761,133.7029226,2,1,1,2453,2530,70,25,10
01/04/2027,16.34639256,15.06685791,41.5024582,110.7318981,7,1,1,1796,2722,75,22,17
02/04/2027,15.82143808,18.56001075,50.71320123,131.8851426,0,1,2,2476,3303,95,27,19
03/04/2027,11.18415039,17.49953682,57.08910166,125.3041548,0,1,1,2463,2765,82,20,12
04/04/2027,12.1189433,18.05116851,40.09768932,135.8609616,5,1,2,1999,2781,78,25,16
05/04/2027,13.11002495,11.36845167,58.73322609,141.6465824,9,1,2,1614,3287,97,29,19
06/04/2027,11.66931071,10.69719426,42.12557023,137.1360749,8,4,0,2306,2880,75,26,15
07/04/2027,12.43729483,18.93404729,56.83967056,142.3280585,3,0,1,1500,3055,84,29,12
08/04/2027,12.67600799,13.8783427,49.6570953,103.1933187,5,1,2,2052,2561,92,28,15
09/04/2027,13.35673833,12.87879678,53.18714775,101.5810019,4,4,0,2184,3212,85,21,12
10/04/2027,17.49390453,17.24696254,50.21365969,112.9250284,0,0,1,2099,3346,73,15,18
11/04/2027,15.71912204,18.36415597,49.5409645,145.0333042,5,1,0,1981,3020,97,24,10
12/04/2027,19.86246672,18.62489622,56.69798857,141.1829625,8,0,0,2109,2570,95,19,17
13/04/2027,14.14735827,13.15997141,55.11772759,134.1363649,2,0,2,2099,3101,86,18,14
14/04/2027,17.53865074,18.52212391,49.66804473,135.0379334,2,2,1,2262,3035,78,24,13
15/04/2027,18.71468421,10.40933944,42.23271859,136.3335235,1,3,0,2009,2639,81,17,10
16/04/2027,16.78978493,10.49661491,42.30805919,147.130135,3,2,2,1834,2815,91,16,18
17/04/2027,14.1186474,16.23519195,56.03078921,141.6095576,9,0,2,1964,2839,88,28,18
18/04/2027,17.53594631,10.63106369,50.58781243,131.1695194,2,4,0,1640,3387,89,28,14
19/04/2027,12.03667138,13.24609169,49.6317828,133.2857718,1,1,0,2082,3089,95,23,18
20/04/2027,13.27552165,16.72755986,53.61133683,110.6870131,0,3,2,1636,3225,81,22,19
21/04/2027,15.46685255,13.37266896,57.17683167,132.8659413,2,1,0,2458,3027,91,24,18
22/04/2027,15.75409387,11.79599781,52.57746289,121.2339506,9,4,0,2110,3040,75,29,16
23/04/2027,10.22141475,12.81350622,55.25695805,107.6480935,5,3,1,2162,2915,81,16,17
24/04/2027,19.45114189,14.57575332,55.30541048,140.320141,8,2,2,2449,2966,78,20,10
25/04/2027,16.96627271,14.75385855,47.12522898,125.512355,4,0,0,2186,2874,89,17,13
26/04/2027,14.9570375,17.83000231,45.48166391,148.8712521,2,4,2,1666,2790,74,17,19
27/04/2027,19.33127234,17.50153229,56.02328134,114.0839677,4,0,1,1842,2542,90,19,19
